Molecule ,1 (kcal/mol) ,2 (kcal/mol) ,3 (kcal/mol) ,Efficiency (%),Efficiency (%),Efficiency (%)
,,,,Rpt 1 ,Rpt 2 ,Rpt 3
AZ44 ,-17.5,-2.7,-8.3,31,0,0
AZ53 ,-13.7,0,-7.7,46.09,0,0
AZ54 ,-14,0,-7.4,0,0,0
AZ63 ,-19.6,-0.7,-6.9,0,0,0
AZ65 ,-23,-1.1,-6.7,34.6,9.7,17.5
AZ66 ,-20.7,-0.2,-7.8,41,49.8,44.1
AZ67 ,-18.8,0,-7.4,48.1,41.4,33.7
AZ74 ,-18.5,-0.9,-6.8,48.8,26.4,18.5
AZ76 ,-21.6,-0.7,-6.2,61.4,56.6,55.1
AZ77 ,-19.1,-3.4,-4.6,19.4,42.1,37.4
AZ78 ,-20.2,-1.9,-5.9,0,45.6,45.8
AZ99 ,-20.1,-0.2,-7.7,72.2,75.9,83.3
AZ107 ,-23.3,-0.4,-7.8,26.9,43.9,26.9
AZ108 ,-29.5,-0.2,-7.8,46.6,62.2,57.1
AZ109 ,-24.7,0,-7,73.3,79.3,70.4
BZ5 ,-20.7,-1.9,-5,20.7,0,0
BZ7 ,-21.7,-0.6,-8.8,0,0,0
BZ12 ,-18.7,0,-7.3,5.3,40.3,41.3
BZ15 ,-21.8,-1.9,-4.7,38.4,48.2,49.9
BZ17 ,-22,-1.5,-6.3,0,0,0
BZ20 ,-16.3,-3.5,-3.8,0,0,0
BZ21 ,-16.5,-0.6,-6.3,41.6,0,0
BZ22 ,-15.4,0,-6.8,30.9,34,0
BZ23 ,-15,-0.1,-7.9,27.2,0,0
BZ24 ,-20.8,0,-7.1,58.4,68.3,59.8
BZ25 ,-22.6,-0.3,-6.5,41.5,32.7,12.3
BZ26 ,-19.9,-5.8,-5.7,0,0,0
BZ27 ,-19.2,0,-7.1,0,0,0
BZ28 ,-19.7,-3.4,-7,17.7,32.7,18.1
BZ29 ,-19.8,-1.2,-8.4,22.2,22.3,21.9
BZ30 ,-21.4,0,-6.6,0,0,0
BZ31 ,-20.4,-0.8,-7.1,48.1,47.4,38.8
BZ33 ,-19.7,-1.6,-4.8,0,0,0
BZ34 ,-21.6,-0.3,-7.1,43.2,40.8,41.2
BZ35 ,-20,-1.6,-7.4,0,0,0
BZ36 ,-20.6,-1.6,-6.1,51,48,38.2
BZ37 ,-21.7,-6.2,-4.2,0,0,0
BZ38 ,-23.3,-1.5,-5.2,21.1,22.7,22.9
